Gene_ID	Pathway_ID
SAOUHSC_00001	sao00001;sao03032;sao03036
SAOUHSC_00002	sao00001;sao03032;sao03400;sao01000
SAOUHSC_00003	sao00001;sao03009
SAOUHSC_00004	sao00001;sao03400
SAOUHSC_00005	sao00001;sao03032;sao03400;sao01000
SAOUHSC_00006	sao00001;sao03032;sao03400;sao01000
SAOUHSC_00007	sao00001;sao01000
SAOUHSC_00008	sao00001;sao01000
SAOUHSC_00009	sao00001;sao03016;sao01007;sao01000
SAOUHSC_00010	sao00001;sao02000
SAOUHSC_00012	sao00001;sao02000
SAOUHSC_00013	sao00001;sao01000
SAOUHSC_00015	sao00001;sao01000
SAOUHSC_00017	sao00001;sao03011
SAOUHSC_00018	sao00001;sao03032;sao01000
SAOUHSC_00019	sao00001;sao01000
SAOUHSC_00020	sao00001;sao02022
SAOUHSC_00021	sao00001;sao02022;sao01001;sao01000
SAOUHSC_00027	sao00001;sao01000;sao03009
SAOUHSC_00033	sao00001
SAOUHSC_00037	sao00001;sao01000
SAOUHSC_00051	sao00001;sao01000
SAOUHSC_00058	sao00001;sao02000;sao01504
SAOUHSC_00060	sao00001;sao02000
SAOUHSC_00061	sao00001;sao01000
SAOUHSC_00064	sao00001;sao03000;sao01504
SAOUHSC_00067	sao00001;sao02000
SAOUHSC_00069	sao00001
SAOUHSC_00071	sao00001;sao02000
SAOUHSC_00072	sao00001;sao02000
SAOUHSC_00074	sao00001;sao02000
SAOUHSC_00075	sao00001;sao01000
SAOUHSC_00076	sao00001;sao01000
SAOUHSC_00077	sao00001;sao01000
SAOUHSC_00078	sao00001;sao02000
SAOUHSC_00079	sao00001;sao01000
SAOUHSC_00080	sao00001;sao01000
SAOUHSC_00081	sao00001
SAOUHSC_00082	sao00001;sao01000
SAOUHSC_00083	sao00001;sao03000;sao01000
SAOUHSC_00086	sao00001;sao01000
SAOUHSC_00088	sao00001;sao01000
SAOUHSC_00092	sao00001
SAOUHSC_00093	sao00001;sao01000
SAOUHSC_00097	sao00001;sao01000
SAOUHSC_00099	sao00001;sao02000;sao01504
SAOUHSC_00100	sao00001;sao01000
SAOUHSC_00101	sao00001;sao01000
SAOUHSC_00102	sao00001;sao02000
SAOUHSC_00103	sao00001;sao02000
SAOUHSC_00104	sao00001;sao02000;sao01000
SAOUHSC_00105	sao00001;sao02000
SAOUHSC_00113	sao00001;sao01000
SAOUHSC_00114	sao00001;sao02000
