"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_00001",13038.9241767586,0.280119275568981,0.274413881287185,1.02079120143279,0.307353373876899,0.399349281194544
"SAOUHSC_00002",9610.6486164004,0.454483702750062,0.177399283381655,2.56192524618203,0.0104093720887391,0.021405980779084
"SAOUHSC_00003",822.252384754966,0.669104777549822,0.359511692662287,1.86114886165429,0.0627231576890974,0.103732953766742
"SAOUHSC_00004",7003.09198067091,1.31558714988376,0.279211936428822,4.71178691967968,2.45554060794634e-06,1.13836124699394e-05
"SAOUHSC_00005",16205.5338558248,1.29429648853111,0.33291713928513,3.88774363287617,0.000101180409936748,0.000333632058044219
"SAOUHSC_00006",21389.5839547688,1.42761997956387,0.354589546178103,4.02611976283928,5.6704815850481e-05,0.000196986311981893
"SAOUHSC_00007",3924.27255997215,0.508803711134138,0.325053877304589,1.56529039232892,0.117514834872572,0.179201705212558
"SAOUHSC_00008",1502.43383986896,1.04609569085555,0.232656931014312,4.4963014267183,6.91456945267833e-06,2.88396070745722e-05
"SAOUHSC_00009",20979.0877723448,-4.75629470317223,0.325617833408194,-14.6069846770639,2.53491340556221e-48,8.4317557152513e-46
"SAOUHSC_00010",895.64091124459,-3.61291736053419,0.401047260702231,-9.00870723866308,2.08499671103552e-19,5.38657888161702e-18
"SAOUHSC_00012",629.753325480204,-3.25301147381576,0.333187105396431,-9.76331743074294,1.61774949083126e-22,5.38103924387749e-21
"SAOUHSC_00013",2950.92747551858,-2.53102034271353,0.372212296838875,-6.7999374663572,1.04664571989273e-11,1.09650561442305e-10
"SAOUHSC_00014",3937.55797275912,-0.537971583237429,0.188981388742573,-2.84669081340198,0.00441762453286607,0.00996211769657339
"SAOUHSC_00015",18432.9514124184,0.257942267877697,0.284215357418385,0.907559219250733,0.364111148473497,0.458542246137234
"SAOUHSC_00017",4390.83273811665,0.448495928855952,0.209371110580662,2.14210990051164,0.0321846394007324,0.0579062376236301
"SAOUHSC_00018",11800.1287217922,-0.755515107311917,0.406520144881307,-1.85849364865426,0.0630989444944653,0.104289621925324
"SAOUHSC_00019",6365.63524080323,-0.276181361583255,0.5139975494889,-0.537320385783706,0.59104632629023,0.670121122393823
"SAOUHSC_T00018",109.282636944827,-1.9805172528126,1.53487602988464,-1.29034346373984,0.196931432362348,0.278741777402239
"SAOUHSC_T00011",274.136196234169,-0.380660207618607,0.938589421885899,-0.40556626650847,0.685061319126268,0.752973221889715
"SAOUHSC_00020",2954.30184545466,-0.183669739598086,0.24304006439506,-0.75571795150421,0.449818318707716,0.540635296332986
"SAOUHSC_00021",10743.0932165526,-0.554310375637347,0.495094640271572,-1.11960488066139,0.262882174823189,0.352585416937755
"SAOUHSC_00022",8200.19647215517,0.399342318580499,0.196130005661217,2.03611026897281,0.0417392838063451,0.0728316289893012
"SAOUHSC_00023",6366.56703947746,0.310515149600756,0.311277848327944,0.997549781549555,0.318497722817121,0.410223833696205
"SAOUHSC_00024",1238.69188567266,0.702561472141772,0.381243362042739,1.84281627456378,0.0653558398194643,0.107618743663115
"SAOUHSC_00025",1226.505870027,-0.202555086501404,0.523192299080741,-0.38715227050799,0.698643482721372,0.765687935552541
"SAOUHSC_00026",158.412523114099,2.74390974074053,0.402922451595007,6.81001947118732,9.75855368788119e-12,1.03045680013698e-10
"SAOUHSC_00027",1231.54782613421,-0.707184988778494,0.446201024679839,-1.58490220699497,0.112988555022039,0.173221220859019
"SAOUHSC_00028",3.32330874188313,-0.367674452066256,1.48521732581637,-0.247555994449605,0.804477962324513,0.848035056284205
"SAOUHSC_00029",28.2365221961768,-2.49978499675542,0.604678338682711,-4.13407399742678,3.56388643299196e-05,0.000127982480407444
"SAOUHSC_00030",1268.13963587661,-0.833194777935468,0.318659959459581,-2.61468299735082,0.00893103033416576,0.018595830766209
"SAOUHSC_00031",11633.6833011899,4.24768006631493,0.302201235973682,14.0557997806629,7.09755161893985e-45,1.57388207149991e-42
"SAOUHSC_00032",47.2051444566509,0.973767787453931,0.794156446623327,1.22616619382024,0.220136140214598,0.304936110937556
"SAOUHSC_00033",6090.68803132919,4.07775806753577,0.382732168148676,10.6543384823398,1.66423623304784e-26,8.51640887719289e-25
"SAOUHSC_00034",1451.40693272014,4.22844109893147,0.449669583629266,9.40344033235223,5.28075506504661e-21,1.57888643012236e-19
"SAOUHSC_00035",9808.06740997534,5.84492713311717,0.573447588103519,10.1926091492463,2.13943778511039e-24,9.03657769234723e-23
"SAOUHSC_00036",19072.4640441091,5.19712421082646,0.394694469469593,13.1674614488786,1.35063020952708e-39,1.63364863070525e-37
