# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-T" "1" "-F" "GTF" "-a" "genome.gtf" "-t" "gene" "-g" "gene_id" "-s" "1" "-o" "counts_matrix.txt" "SRR10379726_trimmed.sorted.bam" "SRR10379725_trimmed.sorted.bam" "SRR10379723_trimmed.sorted.bam" "SRR10379722_trimmed.sorted.bam" "SRR10379724_trimmed.sorted.bam" "SRR10379721_trimmed.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379726_trimmed.sorted.bam	SRR10379725_trimmed.sorted.bam	SRR10379723_trimmed.sorted.bam	SRR10379722_trimmed.sorted.bam	SRR10379724_trimmed.sorted.bam	SRR10379721_trimmed.sorted.bam
SAOUHSC_00001	NC_007795.1	517	1878	+	1362	3941	19419	12918	16813	13966	20275
SAOUHSC_00002	NC_007795.1	2156	3289	+	1134	2075	14852	11019	12015	11919	15761
SAOUHSC_00003	NC_007795.1	3670	3915	+	246	120	966	823	1187	1316	1563
SAOUHSC_00004	NC_007795.1	3912	5024	+	1113	838	6630	9770	11295	7504	13735
SAOUHSC_00005	NC_007795.1	5034	6968	+	1935	3484	12050	23993	26225	12005	29291
SAOUHSC_00006	NC_007795.1	7005	9668	+	2664	3967	12298	31602	32814	18722	44446
SAOUHSC_00007	NC_007795.1	9755	10456	-	702	1203	4978	4597	4721	3491	6826
SAOUHSC_00008	NC_007795.1	10893	12407	+	1515	293	1843	2072	2247	1182	2697
SAOUHSC_00009	NC_007795.1	12786	14072	+	1287	13343	77812	1231	1836	40140	2193
SAOUHSC_00010	NC_007795.1	14722	15417	+	696	264	4572	131	160	2077	180
SAOUHSC_00012	NC_007795.1	15414	15743	+	330	294	2740	125	134	1141	155
SAOUHSC_00013	NC_007795.1	16106	17074	+	969	1870	8797	814	1123	4542	1065
SAOUHSC_00014	NC_007795.1	17365	18303	+	939	1160	8751	3391	3337	6861	4446
SAOUHSC_00015	NC_007795.1	18318	20285	+	1968	5766	25659	22168	21610	20716	25447
SAOUHSC_00017	NC_007795.1	20282	20734	+	453	1042	6482	5620	5500	5218	6331
SAOUHSC_00018	NC_007795.1	20766	22166	+	1401	6288	19466	8627	10260	14269	11556
SAOUHSC_00019	NC_007795.1	22444	23727	+	1284	3211	5185	6752	6149	8513	6811
SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	129	7	36	42	45	80
SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	200	31	158	312	229	369
SAOUHSC_00020	NC_007795.1	24931	25632	+	702	916	5942	2538	3428	3862	3638
SAOUHSC_00021	NC_007795.1	25645	27471	+	1827	6156	13059	8060	10337	11274	11930
SAOUHSC_00022	NC_007795.1	27515	28798	+	1284	1984	12002	8929	10826	10210	12709
