# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-F" "GTF" "-a" "genome.gtf" "-t" "gene" "-g" "gene_id" "-s" "1" "-o" "counts_matrix.txt" "/ifb/data/mydatalocal/work/ed/a50959958c8a1035b7ca4e90a61e61/SRR10379722_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/50/0ed48766b0e229f79413cf426b225b/SRR10379726_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/c8/3784a96f58cb6d43cefcc83da746bc/SRR10379723_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/a3/a70741af2b0a622c0e9a52865ad90f/SRR10379724_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/e3/c0b8388a2096991a6f71f12bbaee56/SRR10379721_trimmed.sorted.bam" "/ifb/data/mydatalocal/work/b1/f7b1948a746a8f0ce94c83754b5bd0/SRR10379725_trimmed.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/ifb/data/mydatalocal/work/ed/a50959958c8a1035b7ca4e90a61e61/SRR10379722_trimmed.sorted.bam	/ifb/data/mydatalocal/work/50/0ed48766b0e229f79413cf426b225b/SRR10379726_trimmed.sorted.bam	/ifb/data/mydatalocal/work/c8/3784a96f58cb6d43cefcc83da746bc/SRR10379723_trimmed.sorted.bam	/ifb/data/mydatalocal/work/a3/a70741af2b0a622c0e9a52865ad90f/SRR10379724_trimmed.sorted.bam	/ifb/data/mydatalocal/work/e3/c0b8388a2096991a6f71f12bbaee56/SRR10379721_trimmed.sorted.bam	/ifb/data/mydatalocal/work/b1/f7b1948a746a8f0ce94c83754b5bd0/SRR10379725_trimmed.sorted.bam
SAOUHSC_00001	NC_007795.1	517	1878	+	1362	16813	3941	12918	13966	20275	19419
SAOUHSC_00002	NC_007795.1	2156	3289	+	1134	12015	2075	11019	11919	15761	14852
SAOUHSC_00003	NC_007795.1	3670	3915	+	246	1187	120	823	1316	1563	966
SAOUHSC_00004	NC_007795.1	3912	5024	+	1113	11295	838	9770	7504	13735	6630
SAOUHSC_00005	NC_007795.1	5034	6968	+	1935	26225	3484	23993	12005	29291	12050
SAOUHSC_00006	NC_007795.1	7005	9668	+	2664	32814	3967	31602	18722	44446	12298
SAOUHSC_00007	NC_007795.1	9755	10456	-	702	4721	1203	4597	3491	6826	4978
SAOUHSC_00008	NC_007795.1	10893	12407	+	1515	2247	293	2072	1182	2697	1843
SAOUHSC_00009	NC_007795.1	12786	14072	+	1287	1836	13343	1231	40140	2193	77812
SAOUHSC_00010	NC_007795.1	14722	15417	+	696	160	264	131	2077	180	4572
SAOUHSC_00012	NC_007795.1	15414	15743	+	330	134	294	125	1141	155	2740
SAOUHSC_00013	NC_007795.1	16106	17074	+	969	1123	1870	814	4542	1065	8797
SAOUHSC_00014	NC_007795.1	17365	18303	+	939	3337	1160	3391	6861	4446	8751
SAOUHSC_00015	NC_007795.1	18318	20285	+	1968	21610	5766	22168	20716	25447	25659
SAOUHSC_00017	NC_007795.1	20282	20734	+	453	5500	1042	5620	5218	6331	6482
SAOUHSC_00018	NC_007795.1	20766	22166	+	1401	10260	6288	8627	14269	11556	19466
SAOUHSC_00019	NC_007795.1	22444	23727	+	1284	6149	3211	6752	8513	6811	5185
SAOUHSC_T00018	NC_007795.1	24157	24231	+	75	42	129	36	45	80	7
SAOUHSC_T00011	NC_007795.1	24239	24311	+	73	312	200	159	229	369	31
SAOUHSC_00020	NC_007795.1	24931	25632	+	702	3428	916	2538	3862	3638	5942
SAOUHSC_00021	NC_007795.1	25645	27471	+	1827	10337	6156	8060	11274	11930	13059
SAOUHSC_00022	NC_007795.1	27515	28798	+	1284	10826	1984	8929	10210	12709	12002
SAOUHSC_00023	NC_007795.1	28799	29587	+	789	7779	2075	7245	6814	9425	8106
SAOUHSC_00024	NC_007795.1	29977	30777	+	801	1432	364	1562	1280	2402	1035
SAOUHSC_00025	NC_007795.1	31005	33323	+	2319	1134	657	1207	1001	1631	1377
SAOUHSC_00026	NC_007795.1	33555	34034	-	480	229	16	342	62	375	49
SAOUHSC_00027	NC_007795.1	33691	34170	+	480	1126	676	865	1244	1258	2107
SAOUHSC_00028	NC_007795.1	34375	34509	-	135	3	3	3	2	2	0
SAOUHSC_00029	NC_007795.1	34473	34565	+	93	7	13	16	53	5	104
SAOUHSC_00030	NC_007795.1	34712	36457	+	1746	941	293	964	2319	1275	3893
SAOUHSC_00031	NC_007795.1	36551	37003	-	453	17955	302	29623	1784	28344	2009
SAOUHSC_00032	NC_007795.1	37019	37120	-	102	27	18	124	18	49	35
SAOUHSC_00033	NC_007795.1	37218	37973	-	756	9309	138	15984	1358	14002	1039
SAOUHSC_00034	NC_007795.1	37973	38233	-	261	2714	15	3216	306	3596	292
SAOUHSC_00035	NC_007795.1	38370	39437	+	1068	16319	36	25352	941	24557	383
SAOUHSC_00036	NC_007795.1	39468	40802	+	1335	32562	272	48261	2023	46589	1098
SAOUHSC_00037	NC_007795.1	40821	42014	+	1194	29415	3301	42499	8509	45065	8128
SAOUHSC_00038	NC_007795.1	42281	42382	-	102	171	14	124	174	223	132
SAOUHSC_00039	NC_007795.1	42681	43613	-	933	2450	1984	1818	3148	2811	4100
SAOUHSC_00040	NC_007795.1	43976	44179	+	204	14	6	16	20	18	39
SAOUHSC_00041	NC_007795.1	44228	44524	+	297	510	57	493	407	639	561
SAOUHSC_00042	NC_007795.1	44596	45816	-	1221	213	42	247	384	340	497
SAOUHSC_00043	NC_007795.1	45809	46360	-	552	91	24	95	97	168	130
SAOUHSC_00044	NC_007795.1	46473	47333	+	861	1289	58	1512	728	1847	907
SAOUHSC_00045	NC_007795.1	47689	48222	-	534	61	61	112	234	90	437
SAOUHSC_00046	NC_007795.1	48313	49056	+	744	303	27	336	457	391	679
SAOUHSC_00047	NC_007795.1	49490	50092	+	603	321	42	383	438	554	882
SAOUHSC_00049	NC_007795.1	50359	53511	+	3153	1662	328	1883	2351	2477	3193
SAOUHSC_00050	NC_007795.1	53568	54050	+	483	896	111	1188	926	1459	1292
SAOUHSC_00051	NC_007795.1	54255	55241	+	987	170	194	193	454	362	661
SAOUHSC_00052	NC_007795.1	55462	56232	+	771	90	17	119	85	169	143
